gender,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,1.0,0.0,0.1
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.15
0.0,0.75,1.0,0.5,0.0,0.0,0.15
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.2
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,1.0,0.0,0.15
0.0,0.5,1.0,0.0,0.0,0.0,0.1
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.15
1.0,0.75,1.0,0.0,1.0,0.3333333333333333,0.2
0.0,0.25,1.0,0.0,0.0,0.0,0.1
0.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.25
0.0,0.5,1.0,0.0,0.0,0.0,0.05
1.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
1.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.15
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.05
1.0,0.25,0.0,0.0,0.0,0.0,0.15
1.0,0.75,1.0,0.0,0.0,0.0,0.15
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.5,0.4
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.1666666666666666,0.15
0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.75,0.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.5,1.0,0.5,1.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.15
1.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.05
0.0,0.5,1.0,0.0,0.0,0.5,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.075
0.0,0.5,0.0,0.0,0.0,0.0,0.15
0.0,0.75,1.0,0.5,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,1.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,1.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.75,0.0,0.5,0.0,0.0,0.15
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,1.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.1
1.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.75,0.0,0.5,1.0,0.0,0.075
0.0,0.25,0.0,0.0,0.0,0.0,0.1
0.0,0.5,0.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.05
1.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.75,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,1.0,0.0,0.1
0.0,0.25,1.0,0.5,0.0,0.0,0.05
1.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.75,1.0,0.5,1.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,1.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.25
0.0,0.75,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.25
1.0,0.75,0.0,0.0,0.0,0.0,0.15
1.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.15
1.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
1.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
1.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.5,0.175
1.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.15
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.5,1.0,0.0,1.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.25
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.15
0.0,0.5,1.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.15
0.0,0.5,1.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.1
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,1.0,0.0,0.15
1.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.5,1.0,0.1666666666666666,0.15
0.0,0.5,1.0,0.0,1.0,0.3333333333333333,0.35
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.8333333333333334,0.15
0.0,0.5,1.0,0.0,1.0,0.1666666666666666,0.15
1.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.25
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.3333333333333333,0.15
1.0,0.0,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.75,0.0,0.5,1.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.25
0.0,0.25,0.0,0.5,0.0,0.0,0.15
0.0,0.25,0.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
1.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.75,0.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.15
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.75,0.0,0.5,0.0,0.0,0.15
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.25
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
1.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.5,1.0,0.5,0.0,0.0,0.15
0.0,0.75,0.0,0.5,0.0,0.1666666666666666,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.75,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,1.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,1.0,0.0,0.45
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.5,1.0,0.5,0.0,0.0,0.15
1.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.5,1.0,0.0,0.05
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.1
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,1.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.075
1.0,0.25,0.0,0.5,0.0,0.3333333333333333,0.45
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.5,0.0,0.1666666666666666,0.15
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.25
0.0,0.5,1.0,0.0,0.0,0.0,0.15
1.0,0.5,1.0,0.5,1.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.15
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.5,0.0,0.1666666666666666,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
1.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.15
0.0,0.25,0.0,0.0,1.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.2
0.0,0.25,1.0,0.0,0.0,0.0,0.25
0.0,0.25,1.0,0.0,1.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.15
0.0,0.75,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.25
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.75,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
1.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.05
0.0,0.75,0.0,0.0,0.0,0.0,0.15
1.0,0.75,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.075
0.0,0.5,1.0,0.0,0.0,0.0,0.15
1.0,0.75,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
1.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.25
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
1.0,0.25,1.0,0.0,1.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.5,1.0,0.1666666666666666,0.325
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,1.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.75,0.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.5,0.05
1.0,0.5,0.0,0.5,0.0,0.0,0.05
1.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.15
1.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.5,0.0,0.0,1.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.0,1.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
1.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.75,1.0,0.0,1.0,0.1666666666666666,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.0,1.0,0.0,1.0,0.1666666666666666,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.5,1.0,0.0,0.05
1.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,1.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.15
0.0,0.5,1.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
1.0,0.25,1.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.15
1.0,0.5,0.0,0.5,0.0,0.1666666666666666,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.1
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,1.0,0.0,0.15
1.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
1.0,0.25,0.0,0.5,0.0,0.0,0.25
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.75,0.0,0.0,0.0,0.3333333333333333,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,1.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.5,0.0,0.0,0.0,0.0,0.35
0.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.5,0.0,0.0,1.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.75,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.0,0.25
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.15
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.25,0.0,0.5,0.0,0.1666666666666666,0.05
0.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
0.0,0.25,0.0,0.5,0.0,0.0,0.05
1.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.25,1.0,0.5,0.0,0.0,0.05
1.0,0.25,1.0,0.0,1.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.5,0.0,0.0,0.0,0.0,0.15
0.0,0.5,0.0,0.5,0.0,0.0,0.05
0.0,0.5,1.0,0.0,0.0,0.0,0.05
0.0,0.75,0.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,1.0,0.1666666666666666,0.15
0.0,0.25,0.0,0.0,0.0,0.0,0.15
0.0,0.75,0.0,0.5,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.15
0.0,0.25,0.0,0.0,0.0,0.0,0.15
0.0,0.25,1.0,0.0,0.0,0.0,0.05
0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.05
